date,stream_no,DOC_rep,DOC_mmolm3,DOC_flag,TN_rep,TN_mmolm3,TN_flag,TP_rep,TP_mmolm3,TP_flag
2004-10-20,505,1,370.83600456259836,"NA",NA,NA,NA,NA,NA,NA
2004-10-20,510,2,321.67150957063285,"NA, NA",NA,NA,NA,NA,NA,NA
2004-10-20,540,1,838.0860399477134,"NA",NA,NA,NA,NA,NA,NA
2004-10-20,830,1,1576.1779080320048,"NA",NA,NA,NA,NA,NA,NA
2004-10-20,835,1,419.95887000757654,"NA",NA,NA,NA,NA,NA,NA
2004-10-21,640,1,1216.998176625842,"NA",NA,NA,NA,NA,NA,NA
2004-10-21,760,1,243.03329531168043,"NA",NA,NA,NA,NA,NA,NA
2004-10-21,788,1,381.57642768531394,"NA",NA,NA,NA,NA,NA,NA
2004-10-21,790,1,1371.8600914184854,"NA",NA,NA,NA,NA,NA,NA
2004-10-21,800,1,640.0959144762587,"NA",NA,NA,NA,NA,NA,NA
2004-10-21,805,1,884.9609098553789,"NA",NA,NA,NA,NA,NA,NA
2004-11-13,505,1,349.2718992231927,"NA",NA,NA,NA,NA,NA,NA
2004-11-13,510,1,272.9233100485401,"NA",NA,NA,NA,NA,NA,NA
2004-11-13,540,1,494.80879549068743,"NA",NA,NA,NA,NA,NA,NA
2004-11-13,640,1,797.0393066182655,"NA",NA,NA,NA,NA,NA,NA
2004-11-13,670,1,304.39524757091596,"NA",NA,NA,NA,NA,NA,NA
2004-11-13,760,1,196.82449815581109,"NA",NA,NA,NA,NA,NA,NA
2004-11-13,788,1,289.57512884344794,"NA",NA,NA,NA,NA,NA,NA
2004-11-13,790,1,758.3238279201047,"NA",NA,NA,NA,NA,NA,NA
2004-11-13,800,1,416.71176534256955,"NA",NA,NA,NA,NA,NA,NA
2004-11-13,805,1,589.0580898698661,"NA",NA,NA,NA,NA,NA,NA
2004-11-13,830,1,970.0517038973582,"NA",NA,NA,NA,NA,NA,NA
2004-11-13,835,1,326.79194385006707,"NA",NA,NA,NA,NA,NA,NA
2005-01-27,505,1,381.99272315518664,"NA",NA,NA,NA,NA,NA,NA
2005-01-27,510,1,206.3160348689086,"NA",NA,NA,NA,NA,NA,NA
2005-01-27,540,2,374.16636832157997,"NA, NA",NA,NA,NA,NA,NA,NA
2005-01-27,640,1,481.90363592463393,"NA",NA,NA,NA,NA,NA,NA
2005-01-27,670,1,325.2932801585253,"NA",NA,NA,NA,NA,NA,NA
2005-01-27,760,2,169.1408494092767,"NA, NA",NA,NA,NA,NA,NA,NA
2005-01-27,788,1,199.905084632869,"NA",NA,NA,NA,NA,NA,NA
2005-01-27,790,1,474.6600947488489,"NA",NA,NA,NA,NA,NA,NA
2005-01-27,805,1,399.06083741996724,"NA",NA,NA,NA,NA,NA,NA
2005-01-27,830,1,605.0438359129776,"NA",NA,NA,NA,NA,NA,NA
2005-01-27,835,1,257.6868958511994,"NA",NA,NA,NA,NA,NA,NA
2005-04-18,510,1,229.2122857119069,"NA",NA,NA,NA,NA,NA,NA
2005-04-18,540,2,433.4052136844647,"NA, NA",NA,NA,NA,NA,NA,NA
2005-04-18,670,1,226.29821742279802,"NA",NA,NA,NA,NA,NA,NA
