date,stream_no,DOC_rep,DOC_mmolm3,DOC_flag,DOC_source,TN_rep,TN_mmolm3,TN_flag,TN_source,TP_rep,TP_mmolm3,TP_flag,TP_source
7/3/1986,505,NA,NA,NA,NA,NA,NA,NA,NA,1,0.258283132,,LSPA LMP VLAP
7/3/1986,510,NA,NA,NA,NA,NA,NA,NA,NA,1,0.968561745,,LSPA LMP VLAP
7/3/1986,670,NA,NA,NA,NA,NA,NA,NA,NA,1,0.774849396,,LSPA LMP VLAP
7/3/1986,790,NA,NA,NA,NA,NA,NA,NA,NA,1,0.774849396,,LSPA LMP VLAP
7/3/1986,805,NA,NA,NA,NA,NA,NA,NA,NA,1,1.226844877,,LSPA LMP VLAP
7/3/1986,835,NA,NA,NA,NA,NA,NA,NA,NA,1,0.451995481,,LSPA LMP VLAP
8/3/1986,505,NA,NA,NA,NA,NA,NA,NA,NA,1,0.129141566,BDL,LSPA LMP VLAP
8/3/1986,510,NA,NA,NA,NA,NA,NA,NA,NA,1,0.129141566,BDL,LSPA LMP VLAP
8/3/1986,670,NA,NA,NA,NA,NA,NA,NA,NA,1,0.129141566,BDL,LSPA LMP VLAP
8/3/1986,790,NA,NA,NA,NA,NA,NA,NA,NA,1,0.193712349,,LSPA LMP VLAP
8/3/1986,805,NA,NA,NA,NA,NA,NA,NA,NA,1,0.129141566,BDL,LSPA LMP VLAP
8/3/1986,835,NA,NA,NA,NA,NA,NA,NA,NA,1,0.064570783,BDL,LSPA LMP VLAP
9/2/1986,505,NA,NA,NA,NA,NA,NA,NA,NA,1,0.064570783,BDL,LSPA LMP VLAP
9/2/1986,510,NA,NA,NA,NA,NA,NA,NA,NA,1,0.064570783,BDL,LSPA LMP VLAP
9/2/1986,670,NA,NA,NA,NA,NA,NA,NA,NA,1,0.064570783,BDL,LSPA LMP VLAP
9/2/1986,790,NA,NA,NA,NA,NA,NA,NA,NA,1,0.064570783,BDL,LSPA LMP VLAP
9/2/1986,805,NA,NA,NA,NA,NA,NA,NA,NA,1,0.129141566,BDL,LSPA LMP VLAP
9/2/1986,835,NA,NA,NA,NA,NA,NA,NA,NA,1,0.064570783,BDL,LSPA LMP VLAP
5/29/1987,505,NA,NA,NA,NA,NA,NA,NA,NA,1,0.129141566,BDL,LSPA LMP VLAP
5/29/1987,510,NA,NA,NA,NA,NA,NA,NA,NA,1,0.161426957,,LSPA LMP VLAP
5/29/1987,670,NA,NA,NA,NA,NA,NA,NA,NA,1,0.064570783,BDL,LSPA LMP VLAP
5/29/1987,790,NA,NA,NA,NA,NA,NA,NA,NA,1,0.129141566,BDL,LSPA LMP VLAP
5/29/1987,805,NA,NA,NA,NA,NA,NA,NA,NA,1,0.161426957,,LSPA LMP VLAP
5/29/1987,835,NA,NA,NA,NA,NA,NA,NA,NA,1,0.129141566,BDL,LSPA LMP VLAP
7/1/1987,505,NA,NA,NA,NA,NA,NA,NA,NA,1,0.064570783,BDL,LSPA LMP VLAP
7/1/1987,510,NA,NA,NA,NA,NA,NA,NA,NA,1,0.710278613,,LSPA LMP VLAP
7/1/1987,670,NA,NA,NA,NA,NA,NA,NA,NA,1,0.129141566,BDL,LSPA LMP VLAP
7/1/1987,790,NA,NA,NA,NA,NA,NA,NA,NA,1,0.129141566,BDL,LSPA LMP VLAP
7/1/1987,805,NA,NA,NA,NA,NA,NA,NA,NA,1,0.129141566,BDL,LSPA LMP VLAP
7/1/1987,835,NA,NA,NA,NA,NA,NA,NA,NA,1,0.032285391,BDL,LSPA LMP VLAP
8/11/1987,505,NA,NA,NA,NA,NA,NA,NA,NA,1,0.032285391,BDL,LSPA LMP VLAP
8/11/1987,510,NA,NA,NA,NA,NA,NA,NA,NA,1,0.032285391,BDL,LSPA LMP VLAP
8/11/1987,670,NA,NA,NA,NA,NA,NA,NA,NA,1,0.032285391,BDL,LSPA LMP VLAP
8/11/1987,790,NA,NA,NA,NA,NA,NA,NA,NA,1,0.096856174,BDL,LSPA LMP VLAP
8/11/1987,805,NA,NA,NA,NA,NA,NA,NA,NA,1,0.032285391,BDL,LSPA LMP VLAP
8/11/1987,835,NA,NA,NA,NA,NA,NA,NA,NA,1,0.064570783,BDL,LSPA LMP VLAP
9/3/1987,505,NA,NA,NA,NA,NA,NA,NA,NA,1,0.032285391,BDL,LSPA LMP VLAP
9/3/1987,510,NA,NA,NA,NA,NA,NA,NA,NA,1,0.193712349,,LSPA LMP VLAP
9/3/1987,670,NA,NA,NA,NA,NA,NA,NA,NA,1,0.161426957,,LSPA LMP VLAP
9/3/1987,790,NA,NA,NA,NA,NA,NA,NA,NA,1,0.258283132,,LSPA LMP VLAP
9/3/1987,805,NA,NA,NA,NA,NA,NA,NA,NA,1,0.161426957,,LSPA LMP VLAP
9/3/1987,835,NA,NA,NA,NA,NA,NA,NA,NA,1,0.129141566,BDL,LSPA LMP VLAP
6/9/1988,505,NA,NA,NA,NA,NA,NA,NA,NA,1,0.161426957,,LSPA LMP VLAP
6/9/1988,510,NA,NA,NA,NA,NA,NA,NA,NA,1,0.096856174,BDL,LSPA LMP VLAP
6/9/1988,670,NA,NA,NA,NA,NA,NA,NA,NA,1,0.032285391,BDL,LSPA LMP VLAP
6/9/1988,790,NA,NA,NA,NA,NA,NA,NA,NA,1,0.355139306,,LSPA LMP VLAP
6/9/1988,805,NA,NA,NA,NA,NA,NA,NA,NA,1,0.064570783,BDL,LSPA LMP VLAP
6/9/1988,835,NA,NA,NA,NA,NA,NA,NA,NA,1,0.096856174,BDL,LSPA LMP VLAP
7/14/1988,505,NA,NA,NA,NA,NA,NA,NA,NA,1,0.032285391,BDL,LSPA LMP VLAP
7/14/1988,510,NA,NA,NA,NA,NA,NA,NA,NA,1,0.096856174,BDL,LSPA LMP VLAP
7/14/1988,670,NA,NA,NA,NA,NA,NA,NA,NA,1,0.032285391,BDL,LSPA LMP VLAP
7/14/1988,790,NA,NA,NA,NA,NA,NA,NA,NA,1,0.064570783,BDL,LSPA LMP VLAP
7/14/1988,805,NA,NA,NA,NA,NA,NA,NA,NA,1,0.161426957,,LSPA LMP VLAP
7/14/1988,835,NA,NA,NA,NA,NA,NA,NA,NA,1,0.355139306,,LSPA LMP VLAP
8/11/1988,505,NA,NA,NA,NA,NA,NA,NA,NA,1,0.161426957,,LSPA LMP VLAP
8/11/1988,510,NA,NA,NA,NA,NA,NA,NA,NA,1,0.22599774,,LSPA LMP VLAP
8/11/1988,670,NA,NA,NA,NA,NA,NA,NA,NA,1,0.064570783,BDL,LSPA LMP VLAP
8/11/1988,790,NA,NA,NA,NA,NA,NA,NA,NA,1,0.193712349,,LSPA LMP VLAP
8/11/1988,805,NA,NA,NA,NA,NA,NA,NA,NA,1,1.549698792,,LSPA LMP VLAP
8/11/1988,835,NA,NA,NA,NA,NA,NA,NA,NA,1,2.970256018,,LSPA LMP VLAP
9/7/1988,505,NA,NA,NA,NA,NA,NA,NA,NA,1,0.161426957,,LSPA LMP VLAP
9/7/1988,510,NA,NA,NA,NA,NA,NA,NA,NA,1,0.548851655,,LSPA LMP VLAP
9/7/1988,670,NA,NA,NA,NA,NA,NA,NA,NA,1,0.22599774,,LSPA LMP VLAP
9/7/1988,790,NA,NA,NA,NA,NA,NA,NA,NA,1,1.194559485,,LSPA LMP VLAP
9/7/1988,800,NA,NA,NA,NA,NA,NA,NA,NA,1,0.22599774,,LSPA LMP VLAP
9/7/1988,805,NA,NA,NA,NA,NA,NA,NA,NA,1,0.258283132,,LSPA LMP VLAP
9/7/1988,835,NA,NA,NA,NA,NA,NA,NA,NA,1,0.129141566,BDL,LSPA LMP VLAP
3/16/1989,505,NA,NA,NA,NA,NA,NA,NA,NA,1,0.22599774,,LSPA LMP VLAP
3/16/1989,510,NA,NA,NA,NA,NA,NA,NA,NA,1,4.455384026,,LSPA LMP VLAP
3/16/1989,515,NA,NA,NA,NA,NA,NA,NA,NA,1,0.22599774,,LSPA LMP VLAP
3/16/1989,540,NA,NA,NA,NA,NA,NA,NA,NA,1,0.451995481,,LSPA LMP VLAP
3/16/1989,670,NA,NA,NA,NA,NA,NA,NA,NA,1,0.677993221,,LSPA LMP VLAP
3/16/1989,720,NA,NA,NA,NA,NA,NA,NA,NA,1,0.64570783,,LSPA LMP VLAP
3/16/1989,790,NA,NA,NA,NA,NA,NA,NA,NA,1,3.260824541,,LSPA LMP VLAP
3/16/1989,805,NA,NA,NA,NA,NA,NA,NA,NA,1,2.033979664,,LSPA LMP VLAP
3/16/1989,830,NA,NA,NA,NA,NA,NA,NA,NA,1,1.678840358,,LSPA LMP VLAP
3/16/1989,835,NA,NA,NA,NA,NA,NA,NA,NA,1,2.776543669,,LSPA LMP VLAP
4/2/1989,505,NA,NA,NA,NA,NA,NA,NA,NA,1,0.355139306,,LSPA LMP VLAP
4/2/1989,510,NA,NA,NA,NA,NA,NA,NA,NA,1,1.678840358,,LSPA LMP VLAP
4/2/1989,670,NA,NA,NA,NA,NA,NA,NA,NA,1,0.613422438,,LSPA LMP VLAP
4/2/1989,790,NA,NA,NA,NA,NA,NA,NA,NA,1,1.969408881,,LSPA LMP VLAP
4/2/1989,805,NA,NA,NA,NA,NA,NA,NA,NA,1,0.710278613,,LSPA LMP VLAP
4/2/1989,830,NA,NA,NA,NA,NA,NA,NA,NA,1,1.388271834,,LSPA LMP VLAP
4/2/1989,835,NA,NA,NA,NA,NA,NA,NA,NA,1,1.194559485,,LSPA LMP VLAP
4/26/1989,505,NA,NA,NA,NA,NA,NA,NA,NA,1,0.22599774,,LSPA LMP VLAP
4/26/1989,510,NA,NA,NA,NA,NA,NA,NA,NA,1,0.193712349,,LSPA LMP VLAP
4/26/1989,515,NA,NA,NA,NA,NA,NA,NA,NA,1,0.129141566,BDL,LSPA LMP VLAP
4/26/1989,540,NA,NA,NA,NA,NA,NA,NA,NA,1,0.193712349,,LSPA LMP VLAP
4/26/1989,670,NA,NA,NA,NA,NA,NA,NA,NA,1,0.355139306,,LSPA LMP VLAP
4/26/1989,790,NA,NA,NA,NA,NA,NA,NA,NA,1,0.548851655,,LSPA LMP VLAP
4/26/1989,805,NA,NA,NA,NA,NA,NA,NA,NA,1,0.451995481,,LSPA LMP VLAP
4/26/1989,830,NA,NA,NA,NA,NA,NA,NA,NA,1,0.774849396,,LSPA LMP VLAP
4/26/1989,835,NA,NA,NA,NA,NA,NA,NA,NA,1,0.22599774,,LSPA LMP VLAP
5/6/1989,505,NA,NA,NA,NA,NA,NA,NA,NA,1,0.290568523,,LSPA LMP VLAP
5/6/1989,510,NA,NA,NA,NA,NA,NA,NA,NA,1,0.290568523,,LSPA LMP VLAP
5/14/1989,505,NA,NA,NA,NA,NA,NA,NA,NA,1,0.096856174,BDL,LSPA LMP VLAP
5/14/1989,510,NA,NA,NA,NA,NA,NA,NA,NA,1,0.290568523,,LSPA LMP VLAP
5/19/1989,670,NA,NA,NA,NA,NA,NA,NA,NA,1,0.161426957,,LSPA LMP VLAP
5/21/1989,505,NA,NA,NA,NA,NA,NA,NA,NA,1,0.193712349,,LSPA LMP VLAP
5/21/1989,510,NA,NA,NA,NA,NA,NA,NA,NA,1,0.064570783,BDL,LSPA LMP VLAP
5/24/1989,505,NA,NA,NA,NA,NA,NA,NA,NA,1,0.064570783,BDL,LSPA LMP VLAP
5/24/1989,510,NA,NA,NA,NA,NA,NA,NA,NA,1,0.193712349,,LSPA LMP VLAP
5/24/1989,540,NA,NA,NA,NA,NA,NA,NA,NA,1,0.484280872,,LSPA LMP VLAP
5/24/1989,670,NA,NA,NA,NA,NA,NA,NA,NA,1,0.355139306,,LSPA LMP VLAP
5/24/1989,720,NA,NA,NA,NA,NA,NA,NA,NA,1,0.451995481,,LSPA LMP VLAP
5/24/1989,790,NA,NA,NA,NA,NA,NA,NA,NA,1,0.419710089,,LSPA LMP VLAP
5/24/1989,800,NA,NA,NA,NA,NA,NA,NA,NA,1,0.096856174,BDL,LSPA LMP VLAP
5/24/1989,805,NA,NA,NA,NA,NA,NA,NA,NA,1,0.193712349,,LSPA LMP VLAP
5/24/1989,830,NA,NA,NA,NA,NA,NA,NA,NA,1,0.355139306,,LSPA LMP VLAP
5/24/1989,835,NA,NA,NA,NA,NA,NA,NA,NA,1,0.419710089,,LSPA LMP VLAP
5/27/1989,505,NA,NA,NA,NA,NA,NA,NA,NA,1,0.064570783,BDL,LSPA LMP VLAP
5/27/1989,510,NA,NA,NA,NA,NA,NA,NA,NA,1,0.064570783,BDL,LSPA LMP VLAP
6/3/1989,505,NA,NA,NA,NA,NA,NA,NA,NA,1,0.064570783,BDL,LSPA LMP VLAP
6/3/1989,510,NA,NA,NA,NA,NA,NA,NA,NA,1,0.064570783,BDL,LSPA LMP VLAP
6/9/1989,505,NA,NA,NA,NA,NA,NA,NA,NA,1,0.290568523,,LSPA LMP VLAP
6/9/1989,510,NA,NA,NA,NA,NA,NA,NA,NA,1,0.064570783,BDL,LSPA LMP VLAP
6/16/1989,505,NA,NA,NA,NA,NA,NA,NA,NA,1,0.096856174,BDL,LSPA LMP VLAP
6/16/1989,510,NA,NA,NA,NA,NA,NA,NA,NA,1,0.032285391,BDL,LSPA LMP VLAP
6/23/1989,505,NA,NA,NA,NA,NA,NA,NA,NA,1,0.064570783,BDL,LSPA LMP VLAP
6/28/1989,505,NA,NA,NA,NA,NA,NA,NA,NA,1,0.064570783,BDL,LSPA LMP VLAP
6/28/1989,510,NA,NA,NA,NA,NA,NA,NA,NA,1,0.129141566,BDL,LSPA LMP VLAP
6/28/1989,515,NA,NA,NA,NA,NA,NA,NA,NA,1,0.064570783,BDL,LSPA LMP VLAP
6/28/1989,540,NA,NA,NA,NA,NA,NA,NA,NA,1,0.161426957,,LSPA LMP VLAP
6/28/1989,640,NA,NA,NA,NA,NA,NA,NA,NA,1,0.677993221,,LSPA LMP VLAP
6/28/1989,670,NA,NA,NA,NA,NA,NA,NA,NA,1,0.22599774,,LSPA LMP VLAP
6/28/1989,790,NA,NA,NA,NA,NA,NA,NA,NA,1,0.290568523,,LSPA LMP VLAP
6/28/1989,800,NA,NA,NA,NA,NA,NA,NA,NA,1,0.290568523,,LSPA LMP VLAP
6/28/1989,805,NA,NA,NA,NA,NA,NA,NA,NA,1,0.516566264,,LSPA LMP VLAP
6/28/1989,835,NA,NA,NA,NA,NA,NA,NA,NA,1,0.193712349,,LSPA LMP VLAP
6/29/1989,510,NA,NA,NA,NA,NA,NA,NA,NA,1,0.064570783,BDL,LSPA LMP VLAP
7/25/1989,505,NA,NA,NA,NA,NA,NA,NA,NA,1,0.032285391,BDL,LSPA LMP VLAP
7/25/1989,510,NA,NA,NA,NA,NA,NA,NA,NA,1,0.032285391,BDL,LSPA LMP VLAP
7/25/1989,515,NA,NA,NA,NA,NA,NA,NA,NA,1,0.096856174,BDL,LSPA LMP VLAP
7/25/1989,540,NA,NA,NA,NA,NA,NA,NA,NA,1,0.193712349,,LSPA LMP VLAP
7/25/1989,670,NA,NA,NA,NA,NA,NA,NA,NA,1,0.032285391,BDL,LSPA LMP VLAP
7/25/1989,790,NA,NA,NA,NA,NA,NA,NA,NA,1,0.161426957,,LSPA LMP VLAP
7/25/1989,800,NA,NA,NA,NA,NA,NA,NA,NA,1,0.193712349,,LSPA LMP VLAP
7/25/1989,805,NA,NA,NA,NA,NA,NA,NA,NA,1,0.096856174,BDL,LSPA LMP VLAP
