station,date,depth_m,flag,parameter,value,depth.measurement,sitetype,datasource
200,2007-09-11,4,NA,DO_mgl,9.5,actual,pelagic,LMP DO
200,2004-07-26,16,NA,temp_C,10.3,actual,pelagic,LMP DO
200,2004-08-23,10,NA,DO_mgl,7.9,actual,pelagic,LMP DO
200,2004-07-26,19,NA,temp_C,9.9,actual,pelagic,LMP DO
200,2001-06-25,12,NA,DO_mgl,11.9,actual,pelagic,LMP DO
200,2005-08-22,11,NA,temp_C,11.5,actual,pelagic,LMP DO
200,1991-08-27,10.5,NA,DO_mgl,9.5,actual,pelagic,LMP DO
200,1999-09-20,21,NA,DO_mgl,4,actual,pelagic,LMP DO
200,1994-08-03,6,NA,temp_C,24,actual,pelagic,LMP DO
200,1991-08-27,9,NA,DO_mgl,8,actual,pelagic,LMP DO
200,2004-07-26,13,NA,temp_C,11,actual,pelagic,LMP DO
200,2010-07-12,6,NA,DO_mgl,8.3,actual,pelagic,LMP DO
200,2010-06-02,17,NA,DO_mgl,9.8,actual,pelagic,LMP DO
200,1991-07-30,7,NA,DO_mgl,8.2,actual,pelagic,LMP DO
200,2010-07-12,4,NA,DO_mgl,7.91,actual,pelagic,LMP DO
200,1997-06-02,9,NA,DO_pctsat,94,actual,pelagic,LMP DO
200,2012-05-23,10,NA,temp_C,10.9,actual,pelagic,LMP DO
200,2010-08-17,7,NA,DO_pctsat,99.5,actual,pelagic,LMP DO
200,2010-07-12,15,NA,temp_C,10.9,actual,pelagic,LMP DO
200,2017-07-18,16,NA,temp_C,10.2,actual,pelagic,LMP DO
200,2017-07-18,8,NA,temp_C,16.6,actual,pelagic,LMP DO
200,2017-07-18,13,NA,temp_C,10.6,actual,pelagic,LMP DO
200,2000-07-24,16,NA,temp_C,10.3,actual,pelagic,LMP DO
200,1999-09-20,21,NA,temp_C,10,actual,pelagic,LMP DO
200,2017-06-20,9,NA,temp_C,13.8,actual,pelagic,LMP DO
200,2017-06-20,11,NA,temp_C,11.4,actual,pelagic,LMP DO
200,1996-09-04,1,NA,temp_C,22.5,actual,pelagic,LMP DO
200,1994-08-03,12,NA,temp_C,11,actual,pelagic,LMP DO
200,1991-08-27,7,NA,DO_mgl,7.9,actual,pelagic,LMP DO
200,2010-07-12,5,NA,temp_C,23.9,actual,pelagic,LMP DO
200,2012-08-20,12,NA,temp_C,11.9,actual,pelagic,LMP DO
200,2012-08-20,16,NA,temp_C,10.6,actual,pelagic,LMP DO
200,2012-08-20,17,NA,temp_C,10.5,actual,pelagic,LMP DO
200,2012-08-20,15,NA,temp_C,10.8,actual,pelagic,LMP DO
200,2000-08-13,7,NA,DO_mgl,8.6,actual,pelagic,LMP DO
200,2012-08-20,13,NA,temp_C,11.3,actual,pelagic,LMP DO
200,2007-09-11,2,NA,DO_mgl,9.6,actual,pelagic,LMP DO
200,1994-08-03,11,NA,temp_C,12,actual,pelagic,LMP DO
200,2012-08-20,1,NA,temp_C,23.9,actual,pelagic,LMP DO
200,2019-09-30,10.924,NA,temp_C,14.7,actual,pelagic,LMP DO
200,1993-06-13,6,NA,temp_C,14.1,actual,pelagic,LMP DO
200,1997-06-02,10,NA,DO_pctsat,93,actual,pelagic,LMP DO
200,1999-09-20,23,NA,DO_mgl,3.7,actual,pelagic,LMP DO
200,2012-06-19,9,NA,DO_pctsat,92.1,actual,pelagic,LMP DO
200,1997-07-22,19,NA,DO_mgl,7.4,actual,pelagic,LMP DO
200,2010-06-02,2,NA,temp_C,20.6,actual,pelagic,LMP DO
200,2016-06-21,13,NA,DO_pctsat,90,actual,pelagic,LMP DO
200,1990-08-28,2,NA,temp_C,23.3,actual,pelagic,LMP DO
200,1999-09-20,20,NA,DO_mgl,5.2,actual,pelagic,LMP DO
200,2012-08-20,5,NA,DO_pctsat,102.3,actual,pelagic,LMP DO
200,1994-09-14,1,NA,DO_pctsat,95,actual,pelagic,LMP DO
200,2018-06-18,5,NA,temp_C,19.6,actual,pelagic,LMP DO
200,1995-08-10,21,NA,DO_pctsat,50,actual,pelagic,LMP DO
200,1997-06-02,5,NA,DO_pctsat,99,actual,pelagic,LMP DO
200,1996-07-24,11,NA,temp_C,11.5,actual,pelagic,LMP DO
200,2012-08-20,4,NA,DO_pctsat,102.7,actual,pelagic,LMP DO
200,1993-06-13,2,NA,DO_mgl,9.2,actual,pelagic,LMP DO
200,1997-06-02,7,NA,DO_mgl,11.2,actual,pelagic,LMP DO
200,2017-07-18,17,NA,temp_C,10.2,actual,pelagic,LMP DO
200,2012-06-19,8,NA,DO_mgl,9.46,actual,pelagic,LMP DO
200,1989-07-25,5,NA,temp_C,22.2,actual,pelagic,LMP DO
200,1989-07-25,4,NA,temp_C,23,actual,pelagic,LMP DO
200,2010-07-12,0.5,NA,DO_mgl,7.72,actual,pelagic,LMP DO
200,2007-09-11,4,NA,temp_C,19.7,actual,pelagic,LMP DO
200,2007-09-11,0.5,NA,temp_C,18.5,actual,pelagic,LMP DO
200,2007-10-15,13,NA,DO_pctsat,92.4,actual,pelagic,LMP DO
200,2017-06-20,15,NA,temp_C,9.8,actual,pelagic,LMP DO
200,1993-06-13,6,NA,DO_mgl,9.5,actual,pelagic,LMP DO
200,2012-08-20,8,NA,temp_C,21.1,actual,pelagic,LMP DO
200,2012-08-20,10,NA,temp_C,14.8,actual,pelagic,LMP DO
200,2012-08-20,6,NA,temp_C,24.1,actual,pelagic,LMP DO
200,2012-08-20,1,NA,DO_mgl,8.39,actual,pelagic,LMP DO
200,2012-08-20,2,NA,DO_mgl,8.350000000000001,actual,pelagic,LMP DO
200,2016-06-21,19,NA,DO_pctsat,81.4,actual,pelagic,LMP DO
200,2017-06-20,2,NA,temp_C,21,actual,pelagic,LMP DO
200,2009-09-01,17,NA,temp_C,10.7,actual,pelagic,LMP DO
200,2012-08-20,14,NA,temp_C,11,actual,pelagic,LMP DO
200,2000-08-13,4,NA,DO_mgl,8.7,actual,pelagic,LMP DO
200,1994-08-03,10,NA,temp_C,13.5,actual,pelagic,LMP DO
200,2000-08-13,3,NA,DO_mgl,8.8,actual,pelagic,LMP DO
200,2003-08-18,13,NA,temp_C,10,actual,pelagic,LMP DO
