.id,act_depth_m,area_m2
0.5,33,15.212784727449
1,32.5,38.877116525703
1.5,32,64.231757738118
2,31.5,153.818156688651
2.5,31,6774.760131957288
3,30.5,24943.896024773876
3.5,30,33010.05254915017
4,29.5,41316.233010337324
4.5,29,51569.64991663795
5,28.5,62363.965835470095
5.5,28,78536.84631016254
6,27.5,104204.19476419732
6.5,27,133122.0082216637
7,26.5,167573.89470109323
7.5,26,213528.33674388833
8,25.5,267640.2120194244
8.5,25,325507.95481322624
9,24.5,399208.8258894742
9.5,24,481302.0832070315
10,23.5,573559.1710319389
10.5,23,673760.7131034029
11,22.5,794447.1149650841
11.5,22,921933.6315999351
12,21.5,1083922.7439966404
12.5,21,1277971.9550517374
13,20.5,1500065.0895971796
13.5,20,1734414.657704703
14,19.5,1982166.689157109
14.5,19,2228601.969575884
15,18.5,2478588.590073811
15.5,18,2717182.5251202923
16,17.5,2971088.9731496586
16.5,17,3255038.9807063225
17,16.5,3643536.3158382587
17.5,16,4041012.5745782177
18,15.5,4404248.235515517
18.5,15,4786912.312859184
19,14.5,5148408.645409312
19.5,14,5568849.4478500625
20,13.5,6004956.0379412575
20.5,13,6457014.077973889
21,12.5,6915287.385722391
21.5,12,7463226.536963891
22,11.5,8010080.5095615005
22.5,11,8609028.127994139
23,10.5,9259457.500253877
23.5,10,9834901.366282605
24,9.5,10352414.948069207
24.5,9,10831688.659979247
25,8.5,11243289.144183934
25.5,8,11633983.88155428
26,7.5,12003448.332682762
26.5,7,12347559.832908245
27,6.5,12665770.721980538
27.5,6,12980797.068116551
28,5.5,13277350.0226652
28.5,5,13569017.983006923
29,4.5,13856297.900109485
29.5,4,14140798.948535165
30,3.5,14411939.791351316
30.5,3,14684206.3802373
31,2.5,14944819.976022057
31.5,2,15227076.293545732
32,1.5,15503355.676980933
32.5,1,15773894.769645642
33,0.5,16063292.644444147
33.5,0,16476140.576996487
