date,station,parameter,value,datasource,flag
2012-07-23,230,secchidepth_m,8.35,LMP bio,NA
2012-07-18,30,secchidepth_m,9.2,LMP bio,NA
2012-07-18,100.1,secchidepth_m,8,LMP bio,NA
2012-07-17,10,secchidepth_m,9.5,LMP bio,NA
2012-07-17,20,secchidepth_m,4.3,LMP bio,NA
2012-07-17,110,secchidepth_m,7.5,LMP bio,NA
2012-07-16,70,secchidepth_m,7,LMP bio,NA
2012-07-16,80,secchidepth_m,3.5,LMP bio,NA
2012-07-16,90,secchidepth_m,7.5,LMP bio,NA
2012-06-19,200,secchidepth_m,7.675,LMP bio,NA
2012-06-19,210,secchidepth_m,8,LMP bio,NA
2012-06-19,220,secchidepth_m,7.325,LMP bio,NA
2012-06-19,230,secchidepth_m,6.78,LMP bio,NA
2012-06-13,80,secchidepth_m,2,LMP bio,NA
2012-06-13,90,secchidepth_m,6.2,LMP bio,NA
2012-06-13,100.1,secchidepth_m,7,LMP bio,NA
2012-06-13,110,secchidepth_m,6.72,LMP bio,NA
2012-06-12,20,secchidepth_m,4.3,LMP bio,NA
2012-06-12,30,secchidepth_m,7,LMP bio,NA
2012-06-12,70,secchidepth_m,6,LMP bio,NA
2012-06-11,10,secchidepth_m,6.75,LMP bio,NA
2012-05-23,200,secchidepth_m,6.74,LMP bio,NA
2012-05-23,210,secchidepth_m,7.03,LMP bio,NA
2011-10-04,10,secchidepth_m,6.75,LMP bio,NA
2011-10-03,70,secchidepth_m,6.4,LMP bio,NA
2011-10-03,110,secchidepth_m,4.625,LMP bio,NA
2011-10-02,20,secchidepth_m,4.3,LMP bio,NA
2011-09-19,30,secchidepth_m,7.185,LMP bio,NA
2011-09-19,80,secchidepth_m,2,LMP bio,NA
2011-09-19,90,secchidepth_m,7.3,LMP bio,NA
2011-09-19,200,secchidepth_m,6.82,LMP bio,NA
2011-09-19,210,secchidepth_m,7.49,LMP bio,NA
2011-09-19,220,secchidepth_m,7.64,LMP bio,NA
2011-09-19,230,secchidepth_m,7.71,LMP bio,NA
2011-09-14,100.1,secchidepth_m,7.7,LMP bio,NA
2011-09-13,110,secchidepth_m,5.625,LMP bio,NA
2011-09-12,20,secchidepth_m,4.3,LMP bio,NA
2011-09-12,70,secchidepth_m,6.4,LMP bio,NA
2011-09-05,10,secchidepth_m,7.25,LMP bio,NA
2011-08-18,30,secchidepth_m,7.7,LMP bio,NA
2011-08-18,80,secchidepth_m,4.3,LMP bio,NA
2011-08-18,90,secchidepth_m,7,LMP bio,NA
2011-08-18,110,secchidepth_m,5.75,LMP bio,NA
2011-08-18,200,secchidepth_m,8.2,LMP bio,NA
2011-08-18,210,secchidepth_m,8.775,LMP bio,NA
2011-08-18,220,secchidepth_m,7.8,LMP bio,NA
2011-08-18,230,secchidepth_m,7.93,LMP bio,NA
2011-08-16,10,secchidepth_m,8.5,LMP bio,NA
2011-08-14,20,secchidepth_m,4.3,LMP bio,NA
2011-08-10,70,secchidepth_m,7,LMP bio,NA
2011-07-21,100.1,secchidepth_m,7.5,LMP bio,NA
2011-07-19,10,secchidepth_m,7.25,LMP bio,NA
2011-07-19,20,secchidepth_m,4.3,LMP bio,NA
2011-07-19,30,secchidepth_m,7.75,LMP bio,NA
2011-07-19,80,secchidepth_m,3,LMP bio,NA
2011-07-19,90,secchidepth_m,6.5,LMP bio,NA
2011-07-19,110,secchidepth_m,5.875,LMP bio,NA
2011-07-19,200,secchidepth_m,6.1,LMP bio,NA
2011-07-19,210,secchidepth_m,7.1,LMP bio,NA
2011-07-19,220,secchidepth_m,7.35,LMP bio,NA
2011-07-19,230,secchidepth_m,7.6,LMP bio,NA
2011-07-12,70,secchidepth_m,5.4,LMP bio,NA
2011-06-21,70,secchidepth_m,6.4,LMP bio,NA
2011-06-21,200,secchidepth_m,7.65,LMP bio,NA
2011-06-21,210,secchidepth_m,7.345,LMP bio,NA
2011-06-21,220,secchidepth_m,7.31,LMP bio,NA
2011-06-21,230,secchidepth_m,7.425,LMP bio,NA
2011-06-19,30,secchidepth_m,7,LMP bio,NA
2011-06-14,20,secchidepth_m,4.3,LMP bio,NA
2011-06-14,80,secchidepth_m,2,LMP bio,NA
2011-06-14,90,secchidepth_m,6.25,LMP bio,NA
2011-06-13,110,secchidepth_m,5.937,LMP bio,NA
2011-06-12,10,secchidepth_m,7.5,LMP bio,NA
2011-05-31,200,secchidepth_m,7.38,LMP bio,NA
2011-05-31,210,secchidepth_m,7.82,LMP bio,NA
2011-05-31,220,secchidepth_m,8.03,LMP bio,NA
2011-05-31,230,secchidepth_m,8.04,LMP bio,NA
2010-10-11,20,secchidepth_m,4.3,LMP bio,NA
2010-10-05,70,secchidepth_m,7,LMP bio,NA
2010-10-05,110,secchidepth_m,5.68,LMP bio,NA
2010-10-05,200,secchidepth_m,8.45,LMP bio,NA
2010-10-03,10,secchidepth_m,7.75,LMP bio,NA
2010-09-13,70,secchidepth_m,6,LMP bio,NA
2010-09-13,200,secchidepth_m,10.72,LMP bio,NA
2010-09-13,210,secchidepth_m,10.11,LMP bio,NA
2010-09-13,220,secchidepth_m,10.07,LMP bio,NA
2010-09-13,230,secchidepth_m,9.47,LMP bio,NA
2010-09-07,90,secchidepth_m,7,LMP bio,NA
2010-09-07,110,secchidepth_m,7.875,LMP bio,NA
2010-09-06,10,secchidepth_m,11.25,LMP bio,NA
2010-09-06,20,secchidepth_m,4.3,LMP bio,NA
2010-09-06,30,secchidepth_m,9.75,LMP bio,NA
2010-08-17,200,secchidepth_m,9.3,LMP bio,NA
2010-08-17,210,secchidepth_m,9.6,LMP bio,NA
2010-08-17,220,secchidepth_m,9.38,LMP bio,NA
2010-08-17,230,secchidepth_m,9.1,LMP bio,NA
2010-08-11,100.1,secchidepth_m,7.7,LMP bio,NA
2010-08-10,30,secchidepth_m,9.5,LMP bio,NA
2010-08-10,80,secchidepth_m,2,LMP bio,NA
2010-08-10,90,secchidepth_m,7.3,LMP bio,NA
2010-08-10,110,secchidepth_m,7.25,LMP bio,NA
2010-08-09,10,secchidepth_m,9.25,LMP bio,NA
2010-08-08,20,secchidepth_m,4.3,LMP bio,NA
2010-08-08,70,secchidepth_m,7,LMP bio,NA
2010-07-20,70,secchidepth_m,7,LMP bio,NA
2010-07-13,30,secchidepth_m,7.63,LMP bio,NA
2010-07-13,80,secchidepth_m,2,LMP bio,NA
2010-07-13,90,secchidepth_m,7.3,LMP bio,NA
2010-07-12,10,secchidepth_m,8.25,LMP bio,NA
2010-07-12,110,secchidepth_m,6.875,LMP bio,NA
2010-07-12,200,secchidepth_m,8.55,LMP bio,NA
2010-07-12,210,secchidepth_m,8.32,LMP bio,NA
2010-07-12,220,secchidepth_m,8.39,LMP bio,NA
2010-07-12,230,secchidepth_m,8.38,LMP bio,NA
2010-07-11,20,secchidepth_m,4.3,LMP bio,NA
2010-06-21,70,secchidepth_m,6.5,LMP bio,NA
2010-06-15,10,secchidepth_m,5.75,LMP bio,NA
2010-06-15,20,secchidepth_m,4.3,LMP bio,NA
2010-06-15,30,secchidepth_m,6.5,LMP bio,NA
2010-06-15,80,secchidepth_m,2,LMP bio,NA
2010-06-15,90,secchidepth_m,6.7,LMP bio,NA
2010-06-15,110,secchidepth_m,6,LMP bio,NA
2010-06-02,200,secchidepth_m,6.74,LMP bio,NA
2010-06-02,210,secchidepth_m,6.97,LMP bio,NA
2010-06-02,220,secchidepth_m,7.24,LMP bio,NA
2010-06-02,230,secchidepth_m,7.38,LMP bio,NA
2009-10-11,20,secchidepth_m,4.3,LMP bio,NA
2009-10-06,70,secchidepth_m,7,LMP bio,NA
2009-10-05,210,secchidepth_m,9.17,LMP bio,NA
2009-10-04,10,secchidepth_m,8.875,LMP bio,NA
2009-09-30,110,secchidepth_m,7.8,LMP bio,NA
2009-09-29,60,secchidepth_m,4.7,LMP bio,NA
2009-09-08,10,secchidepth_m,8.25,LMP bio,NA
2009-09-08,70,secchidepth_m,7,LMP bio,NA
2009-09-08,80,secchidepth_m,2,LMP bio,NA
2009-09-08,90,secchidepth_m,7.3,LMP bio,NA
2009-09-08,100.1,secchidepth_m,7.7,LMP bio,NA
2009-09-08,110,secchidepth_m,6.75,LMP bio,NA
2009-09-07,30,secchidepth_m,8.5,LMP bio,NA
2009-09-07,60,secchidepth_m,4.7,LMP bio,NA
2009-09-06,20,secchidepth_m,4.3,LMP bio,NA
2009-09-01,200,secchidepth_m,9.4,LMP bio,NA
2009-09-01,210,secchidepth_m,8,LMP bio,NA
2009-09-01,220,secchidepth_m,9.17,LMP bio,NA
2009-09-01,230,secchidepth_m,7.515,LMP bio,NA
2009-08-19,100.1,secchidepth_m,7.7,LMP bio,NA
2009-08-12,20,secchidepth_m,4.15,LMP bio,NA
2009-08-12,30,secchidepth_m,9.5,LMP bio,NA
2009-08-12,80,secchidepth_m,2,LMP bio,NA
2009-08-12,90,secchidepth_m,7.3,LMP bio,NA
2009-08-11,10,secchidepth_m,9,LMP bio,NA
2009-08-11,110,secchidepth_m,6.37,LMP bio,NA
2009-08-10,60,secchidepth_m,4.8,LMP bio,NA
2009-08-10,70,secchidepth_m,7,LMP bio,NA
2009-07-20,100.1,secchidepth_m,7.7,LMP bio,NA
2009-07-20,110,secchidepth_m,8.3,LMP bio,NA
2009-07-15,80,secchidepth_m,2,LMP bio,NA
2009-07-14,20,secchidepth_m,4.3,LMP bio,NA
2009-07-14,30,secchidepth_m,8.75,LMP bio,NA
2009-07-13,10,secchidepth_m,8.25,LMP bio,NA
2009-07-13,60,secchidepth_m,4.7,LMP bio,NA
2009-07-13,70,secchidepth_m,7,LMP bio,NA
2009-07-13,200,secchidepth_m,7.9,LMP bio,NA
2009-07-13,210,secchidepth_m,8.75,LMP bio,NA
2009-07-13,220,secchidepth_m,8.575,LMP bio,NA
2009-07-13,230,secchidepth_m,8.275,LMP bio,NA
2009-06-24,30,secchidepth_m,7.5,LMP bio,NA
2009-06-22,200,secchidepth_m,8.2,LMP bio,NA
2009-06-22,210,secchidepth_m,7.385,LMP bio,NA
2009-06-22,220,secchidepth_m,7.1,LMP bio,NA
2009-06-22,230,secchidepth_m,7,LMP bio,NA
2009-06-17,110,secchidepth_m,6.5,LMP bio,NA
2009-06-16,10,secchidepth_m,6.75,LMP bio,NA
2009-06-16,20,secchidepth_m,4.3,LMP bio,NA
2009-06-14,70,secchidepth_m,7,LMP bio,NA
2009-06-13,60,secchidepth_m,4.9,LMP bio,NA
2009-05-26,200,secchidepth_m,10.22,LMP bio,NA
2009-05-26,210,secchidepth_m,9.27,LMP bio,NA
2009-05-26,220,secchidepth_m,8.1,LMP bio,NA
2009-05-26,230,secchidepth_m,8.75,LMP bio,NA
2008-10-13,70,secchidepth_m,6.5,LMP bio,NA
2008-10-08,110,secchidepth_m,5.625,LMP bio,NA
2008-10-05,20,secchidepth_m,4.3,LMP bio,NA
2008-09-30,60,secchidepth_m,4.4,LMP bio,NA
2008-09-29,30,secchidepth_m,8.5,LMP bio,NA
2008-09-10,30,secchidepth_m,8.5,LMP bio,NA
2008-09-10,110,secchidepth_m,5.5,LMP bio,NA
2008-09-09,60,secchidepth_m,4.7,LMP bio,NA
2008-09-08,80,secchidepth_m,2,LMP bio,NA
2008-09-08,90,secchidepth_m,7.3,LMP bio,NA
2008-09-07,20,secchidepth_m,4.3,LMP bio,NA
2008-09-02,200,secchidepth_m,7.915,LMP bio,NA
2008-09-02,210,secchidepth_m,7.905,LMP bio,NA
2008-09-02,220,secchidepth_m,7.75,LMP bio,NA
2008-09-02,230,secchidepth_m,7.76,LMP bio,NA
2008-08-14,20,secchidepth_m,4.3,LMP bio,NA
2008-08-13,70,secchidepth_m,7,LMP bio,NA
2008-08-13,110,secchidepth_m,6.05,LMP bio,NA
2008-08-12,60,secchidepth_m,4.7,LMP bio,NA
2008-08-12,80,secchidepth_m,2,LMP bio,NA
2008-08-12,90,secchidepth_m,7.3,LMP bio,NA
2008-08-11,10,secchidepth_m,6.35,LMP bio,NA
2008-07-29,200,secchidepth_m,7.15,LMP bio,NA
2008-07-29,210,secchidepth_m,7.1,LMP bio,NA
2008-07-29,220,secchidepth_m,7.375,LMP bio,NA
2008-07-29,230,secchidepth_m,7.98,LMP bio,NA
2008-07-17,80,secchidepth_m,2,LMP bio,NA
2008-07-17,90,secchidepth_m,6.56,LMP bio,NA
