"date","depth.m","variable","value"
1986-09-02,4,"DO_mgL",8.8
1986-09-02,4,"DOsat_perc",93
1986-09-02,5,"DO_mgL",8.5
1986-09-02,5,"DOsat_perc",91
1986-09-02,6,"DO_mgL",8
1986-09-02,6,"DOsat_perc",86
1986-09-02,7,"DO_mgL",7.7
1986-09-02,7,"DOsat_perc",82
1986-09-02,8,"DO_mgL",7
1986-09-02,8,"DOsat_perc",75
1986-09-02,9,"DO_mgL",6.5
1986-09-02,9,"DOsat_perc",68
1986-09-02,10,"TP_mgL",0.003
1986-09-02,10,"DO_mgL",6.1
1986-09-02,10,"pH",6.4
1986-09-02,10,"DOsat_perc",64
1986-09-02,10,"COND",71.3
1986-09-02,11,"DO_mgL",5.7
1986-09-02,11,"DOsat_perc",59
1986-09-02,11.5,"DO_mgL",3.7
1986-09-02,11.5,"DOsat_perc",37
1986-09-02,12,"DO_mgL",3.4
1986-09-02,12,"DOsat_perc",33
1986-09-02,12.5,"DO_mgL",3.2
1986-09-02,12.5,"DOsat_perc",31
1986-09-02,13,"DO_mgL",2.8
1986-09-02,13,"DOsat_perc",26
1986-09-02,14,"DO_mgL",2.7
1986-09-02,14,"DOsat_perc",25
1986-09-02,15,"DO_mgL",2.6
1986-09-02,15,"DOsat_perc",23
1986-09-02,16,"DO_mgL",2.4
1986-09-02,16,"DOsat_perc",22
1986-09-02,17,"DO_mgL",2.2
1986-09-02,17,"DOsat_perc",19
1986-09-02,18,"DO_mgL",2
1986-09-02,18,"DOsat_perc",18
1986-09-02,19,"DO_mgL",2
1986-09-02,19,"DOsat_perc",18
1986-09-02,21,"TP_mgL",0.002
1986-09-02,21,"DO_mgL",1.8
1986-09-02,21,"pH",6
1986-09-02,21,"DOsat_perc",16
1986-09-02,21,"COND",72.1
1986-09-02,22,"DO_mgL",1.6
1986-09-02,22,"DOsat_perc",14
1986-09-02,22.5,"DO_mgL",1.4
1986-09-02,22.5,"DOsat_perc",12
1987-03-03,10,"TP_mgL",0.003
1987-03-03,10,"TIN_mgL",0.025
1987-03-03,10,"TKN_mgL",0.3
1987-03-03,10,"pH",6.4
1987-03-03,20,"TP_mgL",0.006
1987-03-03,20,"TIN_mgL",0.025
1987-03-03,20,"TKN_mgL",0.48
1987-03-03,20,"pH",6.2
1987-05-29,0.1,"DO_mgL",10.2
1987-05-29,0.1,"DOsat_perc",110
1987-05-29,0.5,"DO_mgL",10.2
1987-05-29,0.5,"DOsat_perc",110
1987-05-29,1,"DOsat_perc",109
1987-05-29,2,"DO_mgL",10.5
1987-05-29,2,"DOsat_perc",105
1987-05-29,2.5,"DO_mgL",10.6
1987-05-29,2.5,"DOsat_perc",106
1987-05-29,3,"DO_mgL",10.7
1987-05-29,3,"DOsat_perc",107
1987-05-29,3.5,"TP_mgL",0.002
1987-05-29,3.5,"pH",6.7
1987-05-29,3.5,"COND",69.3
1987-05-29,4,"DO_mgL",10.8
1987-05-29,4,"DOsat_perc",105
1987-05-29,5,"DO_mgL",10.9
1987-05-29,5,"DOsat_perc",104
1987-05-29,5.5,"DO_mgL",11
1987-05-29,5.5,"DOsat_perc",107
1987-05-29,6,"DO_mgL",11
1987-05-29,6,"DOsat_perc",104
1987-05-29,7,"DO_mgL",11
1987-05-29,7,"DOsat_perc",104
1987-05-29,8,"DO_mgL",11.2
1987-05-29,8,"DOsat_perc",103
1987-05-29,9,"DO_mgL",11.2
1987-05-29,9,"DOsat_perc",101
1987-05-29,10,"TP_mgL",0.003
1987-05-29,10,"pH",6.7
1987-05-29,10,"DO_mgL",11.3
1987-05-29,10,"COND",67.8
1987-05-29,10,"DOsat_perc",99
1987-05-29,11,"DO_mgL",11.2
1987-05-29,11,"DOsat_perc",99
1987-05-29,12,"DO_mgL",11.2
1987-05-29,12,"DOsat_perc",96
1987-05-29,13,"DO_mgL",11
1987-05-29,13,"DOsat_perc",95
1987-05-29,14,"DO_mgL",10.8
1987-05-29,14,"DOsat_perc",92
1987-05-29,15,"DO_mgL",10.8
1987-05-29,15,"DOsat_perc",92
1987-05-29,16,"DO_mgL",10.8
1987-05-29,16,"DOsat_perc",92
1987-05-29,17,"DO_mgL",10.5
1987-05-29,17,"DOsat_perc",88
1987-05-29,17.5,"DO_mgL",9.2
1987-05-29,17.5,"DOsat_perc",77
1987-05-29,21,"TP_mgL",0.002
1987-05-29,21,"pH",6.4
1987-05-29,21,"COND",68.9
1987-07-01,0.1,"DO_mgL",9
1987-07-01,0.1,"DOsat_perc",101
1987-07-01,0.5,"DO_mgL",8.8
1987-07-01,0.5,"DOsat_perc",99
1987-07-01,1,"DOsat_perc",97
1987-07-01,2,"DO_mgL",8.8
1987-07-01,2,"DOsat_perc",101
1987-07-01,2.5,"DO_mgL",8.8
1987-07-01,2.5,"DOsat_perc",101
1987-07-01,3,"DO_mgL",8.7
1987-07-01,3,"DOsat_perc",100
1987-07-01,3.5,"TP_mgL",0.001
1987-07-01,3.5,"pH",6.9
1987-07-01,3.5,"DO_mgL",8.8
1987-07-01,3.5,"COND",68.9
1987-07-01,3.5,"DOsat_perc",101
1987-07-01,4,"DO_mgL",8.8
1987-07-01,4,"DOsat_perc",101
1987-07-01,4.5,"DO_mgL",8.8
1987-07-01,4.5,"DOsat_perc",101
1987-07-01,5,"DO_mgL",8.8
1987-07-01,5,"DOsat_perc",101
1987-07-01,5.5,"DO_mgL",8.8
1987-07-01,5.5,"DOsat_perc",101
1987-07-01,6,"DO_mgL",8.8
1987-07-01,6,"DOsat_perc",101
1987-07-01,6.5,"DO_mgL",8.8
1987-07-01,6.5,"DOsat_perc",101
1987-07-01,7,"DO_mgL",8.8
1987-07-01,7,"DOsat_perc",99
1987-07-01,7.5,"DO_mgL",8.9
1987-07-01,7.5,"DOsat_perc",100
1987-07-01,8,"DO_mgL",9.1
1987-07-01,8,"DOsat_perc",102
1987-07-01,8.5,"DO_mgL",9.5
1987-07-01,8.5,"DOsat_perc",103
1987-07-01,9,"DO_mgL",9
1987-07-01,9,"DOsat_perc",95
1987-07-01,9.5,"DO_mgL",9.4
1987-07-01,9.5,"DOsat_perc",94
1987-07-01,10,"TP_mgL",0.003
1987-07-01,10,"pH",6.4
1987-07-01,10,"DO_mgL",9.4
1987-07-01,10,"COND",68.1
1987-07-01,10,"DOsat_perc",92
1987-07-01,10.5,"DO_mgL",9.4
1987-07-01,10.5,"DOsat_perc",90
1987-07-01,11,"DO_mgL",9.2
1987-07-01,11,"DOsat_perc",89
1987-07-01,11.5,"DO_mgL",10
1987-07-01,11.5,"DOsat_perc",95
1987-07-01,12,"DO_mgL",10
1987-07-01,12,"DOsat_perc",95
1987-07-01,13,"DO_mgL",9.8
1987-07-01,13,"DOsat_perc",89
1987-07-01,14,"DO_mgL",9.7
1987-07-01,14,"DOsat_perc",89
1987-07-01,15,"DO_mgL",9.4
1987-07-01,15,"DOsat_perc",84
1987-07-01,16,"DO_mgL",9.2
1987-07-01,16,"DOsat_perc",83
1987-07-01,17,"DO_mgL",9.2
1987-07-01,17,"DOsat_perc",83
1987-07-01,18,"DO_mgL",9
1987-07-01,18,"DOsat_perc",80
1987-07-01,18.5,"DO_mgL",9
1987-07-01,18.5,"DOsat_perc",80
1987-07-01,19,"DO_mgL",8.1
1987-07-01,19,"DOsat_perc",72
1987-07-01,21,"TP_mgL",0.001
1987-07-01,21,"pH",6.3
1987-07-01,21,"COND",69.4
1987-08-11,0.1,"DO_mgL",8.7
1987-08-11,0.1,"DOsat_perc",96
1987-08-11,0.5,"DO_mgL",8.7
1987-08-11,0.5,"DOsat_perc",96
1987-08-11,1,"DOsat_perc",95
1987-08-11,2,"DO_mgL",8.6
1987-08-11,2,"DOsat_perc",95
1987-08-11,3,"DO_mgL",8.6
1987-08-11,3,"DOsat_perc",95
1987-08-11,3.5,"TP_mgL",0.001
1987-08-11,3.5,"pH",6.3
1987-08-11,3.5,"COND",68.5
1987-08-11,4,"DO_mgL",8.6
1987-08-11,4,"DOsat_perc",95
1987-08-11,5,"DO_mgL",8.6
1987-08-11,5,"DOsat_perc",95
1987-08-11,6,"DO_mgL",8.6
1987-08-11,6,"DOsat_perc",95
1987-08-11,7,"DO_mgL",8.6
1987-08-11,7,"DOsat_perc",95
1987-08-11,8,"DO_mgL",9
1987-08-11,8,"DOsat_perc",93
1987-08-11,8.5,"DO_mgL",9.1
1987-08-11,8.5,"DOsat_perc",92
1987-08-11,9,"DO_mgL",9.1
1987-08-11,9,"DOsat_perc",90
1987-08-11,9.5,"DO_mgL",9
1987-08-11,9.5,"DOsat_perc",87
1987-08-11,10,"TP_mgL",0.001
1987-08-11,10,"pH",6.3
1987-08-11,10,"DO_mgL",9.2
1987-08-11,10,"COND",70.3
1987-08-11,10,"DOsat_perc",87
1987-08-11,10.5,"DO_mgL",9
1987-08-11,10.5,"DOsat_perc",84
1987-08-11,11,"DO_mgL",8.9
1987-08-11,11,"DOsat_perc",79
1987-08-11,11.5,"DO_mgL",8.7
1987-08-11,11.5,"DOsat_perc",76
1987-08-11,12,"DO_mgL",8.1
1987-08-11,12,"DOsat_perc",72
1987-08-11,13,"DO_mgL",7.9
1987-08-11,13,"DOsat_perc",67
1987-08-11,14,"DO_mgL",7.7
1987-08-11,14,"DOsat_perc",66
1987-08-11,15,"DO_mgL",7.7
1987-08-11,15,"DOsat_perc",66
1987-08-11,16,"DO_mgL",7.2
1987-08-11,16,"DOsat_perc",61
1987-08-11,17,"DO_mgL",6.8
1987-08-11,17,"DOsat_perc",56
1987-08-11,18,"DO_mgL",6.8
1987-08-11,18,"DOsat_perc",56
1987-08-11,19,"DO_mgL",6.6
1987-08-11,19,"DOsat_perc",55
1987-08-11,20,"DO_mgL",6.8
1987-08-11,20,"DOsat_perc",56
1987-08-11,21,"TP_mgL",0.001
1987-08-11,21,"pH",5.8
1987-08-11,21,"DO_mgL",6.7
1987-08-11,21,"DOsat_perc",56
1987-08-11,21,"COND",72.8
1987-09-03,0.1,"DO_mgL",10.2
1987-09-03,0.1,"DOsat_perc",105
1987-09-03,1,"DOsat_perc",100
1987-09-03,2,"DO_mgL",9.5
1987-09-03,2,"DOsat_perc",99
1987-09-03,3,"DO_mgL",9.4
1987-09-03,3,"DOsat_perc",98
1987-09-03,3.5,"TP_mgL",0.003
1987-09-03,3.5,"pH",6.4
1987-09-03,3.5,"COND",71.9
1987-09-03,5,"DO_mgL",9.4
1987-09-03,5,"DOsat_perc",98
1987-09-03,7,"DO_mgL",9.3
1987-09-03,7,"DOsat_perc",98
1987-09-03,8,"DO_mgL",9.3
1987-09-03,8,"DOsat_perc",98
1987-09-03,9,"DO_mgL",9.4
1987-09-03,9,"DOsat_perc",98
1987-09-03,10,"TP_mgL",0.003
1987-09-03,10,"pH",6.4
1987-09-03,10,"DO_mgL",9.2
1987-09-03,10,"COND",72.5
1987-09-03,10,"DOsat_perc",97
1987-09-03,10.5,"DO_mgL",8.4
1987-09-03,10.5,"DOsat_perc",83
1987-09-03,11,"DO_mgL",7.9
1987-09-03,11,"DOsat_perc",74
1987-09-03,11.5,"DO_mgL",7.5
1987-09-03,11.5,"DOsat_perc",69
1987-09-03,12,"DO_mgL",7.3
1987-09-03,12,"DOsat_perc",66
