date,station,depth.m,parameter,value,depth.measurement,datasource,flag,depth_m
1986-08-06,200,0.1,chla_ugL,2.88,assumed,trophic reports (Woody),NA,NA
1986-08-06,210,0.1,chla_ugL,7.49,assumed,trophic reports (Woody),NA,NA
1986-08-06,230,0.1,chla_ugL,3.56,assumed,trophic reports (Woody),NA,NA
2017-09-18,230,NA,chla_ugl,1.41,assumed,LMP bio,NA,0.1
2017-09-18,220,NA,chla_ugl,1.41,assumed,LMP bio,NA,0.1
2017-09-18,210,NA,chla_ugl,1.25,assumed,LMP bio,NA,0.1
2017-09-18,200,NA,chla_ugl,1.44,assumed,LMP bio,NA,0.1
2017-09-18,60,NA,chla_ugl,1,assumed,LMP bio,NA,0.1
2017-09-12,110,NA,chla_ugl,1.06,assumed,LMP bio,NA,0.1
2017-09-12,90,NA,chla_ugl,0.71,assumed,LMP bio,NA,0.1
2017-09-12,80,NA,chla_ugl,0.52,assumed,LMP bio,NA,0.1
2017-09-11,30,NA,chla_ugl,1.79,assumed,LMP bio,NA,0.1
2017-09-11,10,NA,chla_ugl,2.5,assumed,LMP bio,NA,0.1
2017-09-11,70,NA,chla_ugl,0.93,assumed,LMP bio,NA,0.1
2017-09-10,20,NA,chla_ugl,1.25,assumed,LMP bio,NA,0.1
2017-08-22,230,NA,chla_ugl,1.41,assumed,LMP bio,NA,0.1
2017-08-22,220,NA,chla_ugl,1.44,assumed,LMP bio,NA,0.1
2017-08-22,210,NA,chla_ugl,0.33,assumed,LMP bio,NA,0.1
2017-08-22,200,NA,chla_ugl,1.77,assumed,LMP bio,NA,0.1
2017-08-22,60,NA,chla_ugl,0.52,assumed,LMP bio,NA,0.1
2017-08-15,30,NA,chla_ugl,2.69,assumed,LMP bio,NA,0.1
2017-08-14,70,NA,chla_ugl,0.49,assumed,LMP bio,NA,0.1
2017-08-14,90,NA,chla_ugl,0.52,assumed,LMP bio,NA,0.1
2017-08-14,80,NA,chla_ugl,1.64,assumed,LMP bio,NA,0.1
2017-08-14,110,NA,chla_ugl,0.71,assumed,LMP bio,NA,0.1
2017-08-14,100.1,NA,chla_ugl,0.33,assumed,LMP bio,NA,0.1
