station,date,depth_m,layer,parameter,value,depth.measurement,datasource,sitetype
200,1979-03-07,5.8,NA,PO4_mgL,0.00307,actual,trophic reports (Woody),pelagic
200,1979-03-07,5.8,NA,TP_mgl,0.004,actual,trophic reports (Woody),pelagic
200,1979-03-07,5.8,NA,TIN_mgl,0.025,actual,trophic reports (Woody),pelagic
200,1979-03-07,5.8,NA,TKN_mgl,0.19,actual,trophic reports (Woody),pelagic
200,1979-03-07,11.6,NA,PO4_mgL,0.00613,actual,trophic reports (Woody),pelagic
200,1979-03-07,11.6,NA,TP_mgl,0.005,actual,trophic reports (Woody),pelagic
200,1979-03-07,11.6,NA,TIN_mgl,0.025,actual,trophic reports (Woody),pelagic
200,1979-03-07,11.6,NA,TKN_mgl,0.15,actual,trophic reports (Woody),pelagic
200,1979-07-17,3,mid-ep,H_M,0.001,actual,trophic reports (Woody),pelagic
200,1979-07-17,3,mid-ep,PO4_mgL,0.00153,actual,trophic reports (Woody),pelagic
200,1979-07-17,3,mid-ep,TP_mgl,0.002,actual,trophic reports (Woody),pelagic
200,1979-07-17,3,mid-ep,TIN_mgl,0.025,actual,trophic reports (Woody),pelagic
200,1979-07-17,3,mid-ep,TKN_mgl,0.05,actual,trophic reports (Woody),pelagic
200,1979-07-17,9,mid-therm,H_M,1e-9,actual,trophic reports (Woody),pelagic
200,1979-07-17,9,mid-therm,PO4_mgL,0.00153,actual,trophic reports (Woody),pelagic
200,1979-07-17,9,mid-therm,TP_mgl,0.002,actual,trophic reports (Woody),pelagic
200,1979-07-17,9,mid-therm,TIN_mgl,0.025,actual,trophic reports (Woody),pelagic
200,1979-07-17,9,mid-therm,TKN_mgl,0.05,actual,trophic reports (Woody),pelagic
200,1979-07-17,18,mid-hyp,H_M,1e-6,actual,trophic reports (Woody),pelagic
200,1979-07-17,18,mid-hyp,PO4_mgL,0.00153,actual,trophic reports (Woody),pelagic
200,1979-07-17,18,mid-hyp,TP_mgl,0.002,actual,trophic reports (Woody),pelagic
